Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,30823.4825,32222.65817,32986.54188,34336.55396,35984.82942,35780.72283,35125.92711,36479.94184,36105.26018,35495.24857,37241.0305,38123.34238,37309.78795,37353.55868,39713.84667,39166.13379,39146.90934,39866.7156,40096.78145,34978.00914,33639.39618,34446.85689,33815.10934,35720.69811,35467.23576,36490.52446,37043.69815,38865.1882,40706.74951,40780.51657,33155.24309,38866.33328
Africa Eastern and Southern,AFE,3036.33272,2954.698144,2823.057859,2737.031148,2714.501984,2763.565251,2837.699058,2885.496976,2867.097462,2872.697273,2896.170594,2927.090133,2964.981839,2984.885215,3074.455911,3184.171207,3309.18226,3439.42084,3500.345632,3429.780047,3513.493485,3558.462483,3543.82903,3593.39702,3643.014398,3658.718776,3654.773597,3659.361146,3661.769172,3648.708762,3455.516252,3517.766966
Afghanistan,AFG,,,,,,,,,,,,,1280.463171,1292.333437,1260.060581,1352.320627,1366.993146,1528.344578,1556.844452,1823.742614,2026.163818,1961.096317,2122.830759,2165.340915,2144.449634,2108.714173,2101.422187,2096.093111,2060.698973,2079.921861,1968.341002,1516.305667
Africa Western and Central,AFW,2784.035243,2746.636946,2739.716114,2640.657953,2571.005965,2557.357361,2607.641636,2649.475544,2671.493332,2644.524414,2666.631785,2729.48729,2903.451454,2978.439433,3123.990106,3213.464535,3292.661836,3375.241593,3487.092369,3594.93373,3732.626445,3807.251965,3897.075331,4021.244799,4141.765663,4143.120964,4050.295948,4045.303263,4063.464359,4092.028643,3957.755694,4013.718352
Angola,AGO,5768.564612,5635.166453,5136.550379,3783.114367,3713.103256,4131.882725,4537.859119,4708.279298,4770.142609,4719.449116,4708.360977,4747.827745,5219.633976,5195.30731,5565.58084,6178.327112,6648.758481,7309.319864,7832.889809,7613.781167,7691.131265,7664.439975,8012.100845,8100.385154,8183.678371,7967.103871,7488.138837,7216.061373,6878.593482,6602.423657,6032.274914,5908.570045
Albania,ALB,4827.905432,3497.005391,3265.414418,3599.464659,3922.32806,4472.4148,4909.825012,4401.112889,4819.944112,5475.845438,5893.653674,6442.611983,6755.109288,7155.296252,7581.506453,8041.543352,8570.107803,9151.78064,9913.950854,10315.77715,10751.42106,11054.78773,11229.99205,11363.31837,11588.92434,11880.59753,12294.07716,12773.2684,13319.49495,13655.66485,13256.12454,14518.90655
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,9530.502752,9569.215438,9789.405444,9783.746917,9796.244688,9821.027905,10031.42322,10230.81142,10516.82467,10481.4753,10902.05226,10844.39089,10667.57809,10952.03785,11631.3972,11988.08064,12365.76486,12589.30539,12940.6772,12668.38131,12935.19657,13064.69884,13520.22932,13563.2601,13673.8568,13923.92867,14134.9327,14052.54691,14125.79136,14042.27123,13192.85214,13469.76057
United Arab Emirates,ARE,105893.6261,101048.6962,99106.79164,95524.45692,97475.98085,99510.35068,99602.61742,100956.7065,95185.30582,92368.81326,96835.88883,93106.20213,90661.72515,93989.95985,98342.23663,96188.12801,92323.56278,79468.99547,68909.61026,57094.78615,54664.61174,57815.17026,59949.24458,62354.8232,64334.09155,68076.63589,71244.58581,71182.37071,71550.55433,71782.15384,67668.28664,69733.79378
Argentina,ARG,14136.5254,15209.48763,16190.51071,17282.96499,18046.89292,17303.92385,18031.54819,19261.89862,19773.17637,18884.94311,18524.80961,17514.5041,15439.74463,16631.57398,17950.15128,19338.14619,20679.2431,22316.25553,22992.39018,21413.28312,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22747.24166,22071.7481,19685.21587,21527.19614
Armenia,ARM,5153.298211,4473.519088,2634.963124,2484.552329,2683.637533,2912.781057,3105.952781,3236.060508,3505.368402,3660.03412,3921.857522,4346.907506,4965.224359,5698.778477,6334.856153,7259.203892,8273.7857,9476.471494,10201.55945,8819.677459,9068.787651,9551.158131,10289.97563,10677.30365,11105.5325,11506.03899,11580.38364,12509.63961,13231.43107,14317.55287,13357.69706,14193.11683
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,15264.62961,15521.8748,15452.78245,15978.30868,16730.51828,15690.93017,16391.71851,16943.8954,17414.44798,17754.54468,18545.92,17433.01783,17388.54379,18237.26684,19077.41053,20076.43902,22340.79211,24088.12208,23727.37991,20571.90697,18702.09038,18117.18604,18526.39075,18243.81449,18779.48071,19345.01754,20267.91747,20777.87403,22085.26249,23035.65798,18275.68968,19124.43016
Australia,AUS,31006.10023,30496.12645,30285.85382,31232.58548,32164.65884,33044.8445,33905.26294,34852.75174,36099.02291,37475.97876,38494.88668,38779.6,39872.14753,40642.56228,41905.84966,42704.44247,43286.72354,44109.66937,44777.27372,44684.40149,44965.39336,45405.36537,46360.60712,46744.62388,47240.27446,47567.68066,48109.20272,48400.24579,49052.81795,49379.09333,48747.85171,49774.3407
Austria,AUT,37494.56041,38399.67402,38774.49026,38658.64978,39435.21002,40425.39372,41319.375,42136.66228,43597.89007,45060.61875,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55217.28653,55806.43825,51988.41583,54121.14554
Azerbaijan,AZE,7616.910275,7463.62886,5690.180918,4309.921462,3414.511205,2976.995221,2985.337175,3128.164135,3408.475381,3628.716883,3998.520483,4360.459441,4736.564376,5180.686458,5610.763137,7106.597907,9453.94186,11684.19154,12672.37622,13565.85509,14082.23815,13913.83669,14027.46879,14651.69397,14867.94373,14852.61171,14232.19262,14121.40694,14209.59317,14442.04087,13726.76966,14431.66105
Burundi,BDI,1175.155086,1209.388158,1190.067435,1153.541309,1103.167298,956.4909761,880.3094121,867.284265,891.6998437,862.0066804,837.3484115,833.6708787,846.7472952,810.5523352,818.7460633,796.1087131,809.6960107,807.4474806,812.5921698,801.8034274,804.3549408,807.6649576,814.3207708,824.6105226,831.2948386,781.5792873,764.3366022,750.7876163,740.4482225,729.6584626,711.3552634,705.0304094
Belgium,BEL,35506.92651,36023.68428,36426.99315,35935.95739,36981.44895,37784.14989,38208.71867,39562.37298,40252.46891,41583.09739,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51113.48174,51977.18533,48978.93425,51739.53793
Benin,BEN,2109.559335,2132.396816,2129.201214,2155.366616,2118.278694,2200.593784,2237.526324,2297.994303,2317.481295,2367.761224,2431.445652,2485.116531,2523.609973,2532.998428,2566.345657,2528.676481,2549.194419,2625.212755,2673.769349,2656.431642,2634.134728,2633.93906,2681.351661,2792.0273,2883.899098,2849.820499,2859.391685,2933.837384,3040.16752,3156.438957,3186.478031,3321.552174
Burkina Faso,BFA,981.8447619,1044.17392,1021.144516,1030.559204,1018.122209,1049.083717,1135.25666,1176.383903,1228.122869,1280.92272,1266.744817,1310.072212,1325.70343,1385.455048,1402.784372,1477.039822,1521.154454,1536.385814,1578.345826,1578.148939,1661.872021,1720.082522,1776.390997,1823.594952,1846.645127,1862.854712,1916.756382,1978.155012,2051.218431,2110.062311,2093.733647,2179.789039
